Base Model,Dataset,Config,Original_Subdir,Mean P_500
Pythia-12B,arxiv,gptq-b3-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs64-da1,0.4661344682825644
Pythia-12B,arxiv,static-4bit-fp4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float32,0.49840746719763185
Pythia-12B,arxiv,gptq-b2-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da1,0.5091335738260326
Pythia-12B,arxiv,gptq-b2-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da1,0.5574700582825234
Pythia-12B,arxiv,gptq-b3-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs32-da1,0.5612421538339343
Pythia-12B,arxiv,gptq-b2-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da0,0.6025053975938683
Pythia-12B,arxiv,gptq-b2-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da1,0.6474095998277514
Pythia-12B,arxiv,gptq-b2-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs-1-da1,0.7027134993760487
Pythia-12B,arxiv,gptq-b2-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da0,0.7426708336204071
Pythia-12B,arxiv,gptq-b2-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da0,0.8581612795457717
Pythia-12B,arxiv,gptq-b2-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs-1-da0,0.8804392255140779
Pythia-12B,bookcorpus2,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,2.531083864665672e-20
Pythia-12B,bookcorpus2,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,6.851811179898715e-20
Pythia-12B,bookcorpus2,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,9.469667658967152e-20
Pythia-12B,bookcorpus2,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,8.400551667048774e-18
Pythia-12B,books3,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,2.4798277972402947e-12
Pythia-12B,books3,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,2.2175644257539326e-10
Pythia-12B,books3,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,3.867060677445332e-08
Pythia-12B,books3,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,1.027935127064737e-07
Pythia-12B,cc,gptq-b8-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs-1-da1,6.38962692685396e-05
Pythia-12B,cc,gptq-b4-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs128-da1,0.00014675606760760599
Pythia-12B,cc,gptq-b4-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da1,0.0001542509843050881
Pythia-12B,cc,gptq-b4-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da0,0.00035562791162578654
Pythia-12B,cc,gptq-b8-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da0,0.0004676441897990233
Pythia-12B,cc,static-4bit-fp4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float16,0.0006413164720126153
Pythia-12B,cc,gptq-b8-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs-1-da0,0.0010858533699147307
Pythia-12B,cc,gptq-b4-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da1,0.0014241246984033923
Pythia-12B,cc,gptq-b8-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs64-da1,0.001538339886089161
Pythia-12B,cc,gptq-b8-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da0,0.0022005930913388577
Pythia-12B,cc,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.0030652104485881285
Pythia-12B,cc,static-4bit-fp4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float16,0.0033865770302053838
Pythia-12B,cc,gptq-b8-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da1,0.00373230296062827
Pythia-12B,cc,gptq-b4-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs128-da0,0.004575557482280892
Pythia-12B,cc,gptq-b4-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da1,0.004786119722497743
Pythia-12B,cc,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,0.00505689025414451
Pythia-12B,cc,gptq-b8-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da1,0.0059210476103894304
Pythia-12B,cc,static-4bit-nf4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float16,0.0062163584480912654
Pythia-12B,cc,static-4bit-nf4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float32,0.006223717600482645
Pythia-12B,cc,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,0.006525910383033483
Pythia-12B,cc,gptq-b4-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da0,0.010151871991845392
Pythia-12B,cc,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,0.010791085603003885
Pythia-12B,cc,gptq-b4-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da0,0.011625741526269953
Pythia-12B,cc,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-bfloat16,0.012298164848910281
Pythia-12B,cc,static-4bit-fp4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float32,0.013015664198276258
Pythia-12B,cc,static-4bit-nf4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float32,0.014133918831341862
Pythia-12B,cc,static-4bit-nf4-dq-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-bfloat16,0.01682735430641649
Pythia-12B,cc,static-4bit-nf4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-bfloat16,0.02947154760842256
Pythia-12B,cc,static-4bit-nf4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float16,0.031240373246774495
Pythia-12B,cc,gptq-b8-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs64-da0,0.03617530368102371
Pythia-12B,cc,static-4bit-fp4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float32,0.049800205694533375
Pythia-12B,cc,gptq-b2-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da1,0.0740150422369967
Pythia-12B,cc,gptq-b2-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da0,0.07760003046753679
Pythia-12B,cc,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-bfloat16,0.08818811968693714
Pythia-12B,cc,gptq-b2-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da1,0.1489273008803767
Pythia-12B,cc,gptq-b2-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs-1-da0,0.15505283591178737
Pythia-12B,cc,gptq-b2-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da0,0.1872902015841694
Pythia-12B,cc,gptq-b2-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs-1-da1,0.24843801940461674
Pythia-12B,cc,gptq-b3-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs-1-da0,0.3018967184368172
Pythia-12B,cc,gptq-b3-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da0,0.33022671091661826
Pythia-12B,cc,gptq-b2-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da0,0.3572246607199169
Pythia-12B,cc,gptq-b2-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da1,0.3606854365670935
Pythia-12B,cc,gptq-b3-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs64-da1,0.38787960278722533
Pythia-12B,cc,gptq-b3-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da1,0.40198057444392
Pythia-12B,cc,gptq-b3-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs32-da1,0.40647336688843627
Pythia-12B,cc,gptq-b3-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs32-da0,0.4243990500600202
Pythia-12B,cc,gptq-b3-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs64-da0,0.5156499340072889
Pythia-12B,cc,gptq-b3-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs-1-da1,0.5605459973080901
Pythia-12B,europarl,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,2.0408881955127002e-12
Pythia-12B,europarl,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,5.032723500271034e-10
Pythia-12B,europarl,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,2.082952295104697e-09
Pythia-12B,europarl,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,2.0561477119364013e-08
Pythia-12B,freelaw,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.039707768361468845
Pythia-12B,freelaw,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,0.06059205000257349
Pythia-12B,freelaw,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,0.07049621530744968
Pythia-12B,freelaw,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,0.0797425941918633
Pythia-12B,github,static-4bit-nf4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-bfloat16,0.003043879356896603
Pythia-12B,github,awq-b4-gs128-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs128-zp1,0.003592044598124393
Pythia-12B,github,static-4bit-fp4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float32,0.0036409026193703195
Pythia-12B,github,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.003853450884073171
Pythia-12B,github,gptq-b2-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da0,0.015670360186634306
Pythia-12B,github,gptq-b2-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da0,0.015862645767935887
Pythia-12B,github,gptq-b4-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da0,0.016397884713832127
Pythia-12B,github,static-4bit-nf4-dq-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-bfloat16,0.01682724065714386
Pythia-12B,github,static-4bit-nf4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float32,0.017651052925566908
Pythia-12B,github,gptq-b8-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da0,0.01967368598097773
Pythia-12B,github,static-4bit-fp4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float16,0.020575753518382704
Pythia-12B,github,gptq-b4-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da0,0.021211494295145773
Pythia-12B,github,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-bfloat16,0.023471588827810384
Pythia-12B,github,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,0.023474800411617622
Pythia-12B,github,gptq-b4-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da1,0.02395560385556602
Pythia-12B,github,gptq-b4-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs128-da0,0.024543174968237755
Pythia-12B,github,static-4bit-fp4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float32,0.025330292644697845
Pythia-12B,github,gptq-b8-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da1,0.026137954024242675
Pythia-12B,github,gptq-b4-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da0,0.02652448290772479
Pythia-12B,github,static-4bit-nf4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float16,0.02742958961587883
Pythia-12B,github,static-4bit-fp4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float16,0.02828107236675411
Pythia-12B,github,gptq-b2-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da1,0.033712205402060505
Pythia-12B,github,gptq-b8-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs-1-da0,0.03414841292925957
Pythia-12B,github,gptq-b8-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da0,0.03428932625509369
Pythia-12B,github,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,0.03506232240740632
Pythia-12B,github,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-bfloat16,0.04290161191555372
Pythia-12B,github,static-4bit-nf4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float32,0.04602547753126622
Pythia-12B,github,gptq-b2-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs32-da1,0.04612663323655583
Pythia-12B,github,static-4bit-nf4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float16,0.049604930362326514
Pythia-12B,github,gptq-b8-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs64-da0,0.05609789048456724
Pythia-12B,github,gptq-b4-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da1,0.05770848098905612
Pythia-12B,github,gptq-b3-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da0,0.05832569179141465
Pythia-12B,github,gptq-b3-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da1,0.0584064186845248
Pythia-12B,github,gptq-b2-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs64-da1,0.0598090428924871
Pythia-12B,github,gptq-b2-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b2-gs128-da0,0.06264426282246364
Pythia-12B,github,gptq-b8-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da1,0.06917596709659296
Pythia-12B,github,gptq-b4-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da1,0.07124636587052366
